"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","173.87","174.55","174.97","173.79","5.12M","-0.49%"
"12/30/2021","174.72","175.95","176.54","174.51","5.26M","-0.66%"
"12/29/2021","175.88","175.79","176.59","174.97","4.84M","0.09%"
"12/28/2021","175.73","176.98","177.04","175.29","5.69M","-0.52%"
"12/27/2021","176.65","173.63","176.69","173.59","6.62M","2.15%"
"12/23/2021","172.94","172.21","173.63","172.19","4.90M","0.56%"
"12/22/2021","171.98","169.53","172.10","169.08","6.68M","1.31%"
"12/21/2021","169.76","167.34","169.90","165.79","8.40M","2.53%"
"12/20/2021","165.57","165.00","166.09","164.36","16.19M","-1.38%"
"12/17/2021","167.88","167.15","169.52","166.28","22.41M","-0.67%"
"12/16/2021","169.01","174.59","174.87","168.01","15.63M","-2.83%"
"12/15/2021","173.94","169.59","174.11","167.98","14.07M","2.65%"
"12/14/2021","169.45","170.20","171.29","167.41","13.52M","-1.64%"
"12/13/2021","172.28","175.24","175.58","172.03","10.48M","-1.49%"
"12/10/2021","174.88","173.24","175.10","172.73","12.39M","2.01%"
"12/09/2021","171.44","172.88","174.01","171.30","8.59M","-1.08%"
"12/08/2021","173.31","172.58","173.43","171.39","11.62M","0.46%"
"12/07/2021","172.52","170.02","172.73","170.00","14.31M","3.49%"
"12/06/2021","166.70","165.61","167.20","163.89","18.87M","0.95%"
"12/03/2021","165.13","168.42","168.94","163.05","24.24M","-1.67%"
"12/02/2021","167.94","164.74","168.70","164.61","23.44M","0.92%"
"12/01/2021","166.41","170.84","171.79","166.28","19.55M","-1.37%"
"11/30/2021","168.72","169.56","171.03","167.30","27.03M","-0.83%"
"11/29/2021","170.14","168.42","170.58","167.97","12.49M","2.50%"
"11/26/2021","165.99","167.81","169.11","165.33","12.38M","-2.50%"
"11/24/2021","170.24","168.00","170.28","167.18","9.12M","0.73%"
"11/23/2021","169.01","168.75","169.54","166.88","14.62M","-0.23%"
"11/22/2021","169.40","172.14","174.24","169.31","14.23M","-1.11%"
"11/19/2021","171.31","170.68","171.96","170.11","8.86M","0.73%"
"11/18/2021","170.07","169.36","170.31","168.14","9.98M","1.00%"
"11/17/2021","168.39","168.57","169.45","167.86","7.70M","-0.30%"
"11/16/2021","168.90","166.98","169.13","166.89","6.77M","1.05%"
"11/15/2021","167.14","167.89","168.22","166.20","6.25M","-0.10%"
"11/12/2021","167.31","165.85","167.59","165.57","6.12M","1.22%"
"11/11/2021","165.30","165.71","165.78","165.03","5.05M","0.47%"
"11/10/2021","164.53","165.85","166.82","164.03","12.89M","-1.65%"
"11/09/2021","167.29","168.35","168.39","166.44","8.41M","-0.41%"
"11/08/2021","167.98","167.68","168.26","167.23","6.39M","0.54%"
"11/05/2021","167.08","167.44","168.02","166.04","12.11M","0.52%"
"11/04/2021","166.22","164.28","166.62","164.00","14.35M","1.56%"
"11/03/2021","163.66","162.83","163.97","162.06","12.99M","0.58%"
"11/02/2021","162.71","161.51","163.10","161.51","13.41M","0.88%"
"11/01/2021","161.29","161.38","161.57","160.50","12.21M","-0.15%"
"10/29/2021","161.53","159.26","161.63","159.07","10.07M","0.43%"
"10/28/2021","160.84","160.07","160.95","159.92","6.38M","1.00%"
"10/27/2021","159.24","159.63","160.46","159.10","8.72M","-0.09%"
"10/26/2021","159.38","160.01","160.66","159.32","6.59M","0.28%"
"10/25/2021","158.93","159.02","159.50","158.31","5.17M","0.33%"
"10/22/2021","158.41","158.90","159.56","157.75","6.25M","-0.35%"
"10/21/2021","158.96","157.82","159.04","157.55","5.01M","0.39%"
"10/20/2021","158.35","158.96","159.17","157.69","6.01M","-0.28%"
"10/19/2021","158.79","157.67","158.79","157.36","6.60M","0.99%"
"10/18/2021","157.23","155.11","157.30","154.62","5.82M","0.85%"
"10/15/2021","155.91","155.21","155.94","154.74","6.39M","0.80%"
"10/14/2021","154.67","152.86","154.73","152.58","7.60M","2.25%"
"10/13/2021","151.26","150.99","151.59","150.01","9.76M","0.61%"
"10/12/2021","150.34","151.52","151.88","150.09","8.93M","-0.52%"
"10/11/2021","151.12","151.28","153.14","151.04","7.49M","-0.55%"
"10/08/2021","151.96","153.12","153.23","151.71","9.21M","-0.37%"
"10/07/2021","152.53","152.50","153.71","152.33","9.95M","0.91%"
"10/06/2021","151.15","148.48","151.26","147.96","20.00M","0.65%"
"10/05/2021","150.17","148.36","151.02","148.22","16.48M","1.43%"
"10/04/2021","148.06","150.69","150.87","146.89","25.39M","-2.32%"
"10/01/2021","151.57","149.86","151.90","148.34","22.74M","1.51%"
"09/30/2021","149.32","151.28","151.93","149.24","16.71M","-0.72%"
"09/29/2021","150.40","151.17","152.00","150.14","12.51M","-0.13%"
"09/28/2021","150.59","153.00","153.51","150.47","19.10M","-2.96%"
"09/27/2021","155.19","155.41","155.74","154.22","7.51M","-0.97%"
"09/24/2021","156.71","155.65","156.97","155.58","5.83M","0.07%"
"09/23/2021","156.60","155.30","156.97","154.86","9.77M","1.34%"
"09/22/2021","154.53","153.28","155.13","152.60","14.00M","1.37%"
"09/21/2021","152.44","153.40","153.67","151.85","9.23M","0.04%"
"09/20/2021","152.38","152.71","153.70","150.36","17.83M","-1.99%"
"09/17/2021","155.48","157.53","157.54","155.25","11.33M","-1.56%"
"09/16/2021","157.94","157.36","158.09","156.34","8.07M","0.06%"
"09/15/2021","157.85","157.08","157.96","156.15","8.17M","0.88%"
"09/14/2021","156.48","157.48","157.65","156.07","9.22M","-0.13%"
"09/13/2021","156.68","157.82","158.20","155.65","11.32M","0.03%"
"09/10/2021","156.63","159.07","159.46","156.47","8.54M","-0.99%"
"09/09/2021","158.19","158.93","159.44","158.07","5.58M","-0.38%"
"09/08/2021","158.79","159.34","159.42","157.68","5.73M","-0.38%"
"09/07/2021","159.40","159.63","159.74","158.65","9.86M","0.03%"
"09/03/2021","159.36","158.54","159.78","158.49","10.60M","0.40%"
"09/02/2021","158.73","159.52","159.68","158.10","10.89M","-0.11%"
"09/01/2021","158.90","159.41","160.09","158.77","10.15M","0.03%"
"08/31/2021","158.86","159.84","159.84","158.56","10.99M","-0.53%"
"08/30/2021","159.70","158.51","159.87","158.51","5.01M","1.08%"
"08/27/2021","158.00","156.63","158.11","156.36","7.04M","0.96%"
"08/26/2021","156.49","157.34","157.59","156.36","6.03M","-0.63%"
"08/25/2021","157.48","157.93","158.36","157.23","4.72M","-0.06%"
"08/24/2021","157.57","157.87","158.11","157.45","4.77M","-0.11%"
"08/23/2021","157.75","156.17","157.97","156.17","5.40M","1.29%"
"08/20/2021","155.74","154.34","155.88","153.97","7.38M","1.29%"
"08/19/2021","153.76","151.34","154.32","151.33","9.65M","0.98%"
"08/18/2021","152.27","153.97","154.72","152.10","6.74M","-1.38%"
"08/17/2021","154.40","154.70","154.99","153.45","9.53M","-0.83%"
"08/16/2021","155.69","154.67","155.70","153.31","4.75M","0.45%"
"08/13/2021","154.99","154.25","155.03","154.08","2.82M","0.54%"
"08/12/2021","154.15","153.10","154.24","152.48","3.47M","0.57%"
"08/11/2021","153.27","153.79","154.04","152.49","5.42M","0.01%"
"08/10/2021","153.25","154.65","154.78","152.81","5.21M","-0.72%"
"08/09/2021","154.36","155.03","155.32","154.22","3.60M","-0.32%"
"08/08/2021","154.86","154.86","154.86","154.86","","0.00%"
"08/07/2021","154.86","154.86","154.86","154.86","","0.00%"
"08/06/2021","154.86","154.52","155.04","154.41","3.80M","-0.08%"
"08/05/2021","154.99","154.46","155.03","154.00","3.34M","0.55%"
"08/04/2021","154.14","153.81","154.51","153.22","5.66M","0.20%"
"08/03/2021","153.83","153.16","153.90","151.89","5.41M","0.64%"
"08/02/2021","152.85","154.03","154.29","152.68","6.10M","-0.36%"
"07/30/2021","153.40","152.52","153.56","152.48","5.07M","-0.07%"
"07/29/2021","153.50","152.62","154.01","152.62","6.02M","0.46%"
"07/28/2021","152.79","152.95","153.59","151.36","6.97M","-0.12%"
"07/27/2021","152.98","154.22","154.25","151.05","9.04M","-0.95%"
"07/26/2021","154.44","154.11","154.71","153.56","4.50M","-0.05%"
"07/23/2021","154.52","153.68","154.59","153.13","6.29M","0.99%"
"07/22/2021","153.00","152.20","153.12","152.20","4.79M","0.74%"
"07/21/2021","151.88","150.37","151.91","150.09","6.12M","0.96%"
"07/20/2021","150.43","148.97","151.26","148.11","7.36M","1.48%"
"07/19/2021","148.23","148.51","148.92","147.37","12.13M","-1.38%"
"07/16/2021","150.30","152.10","152.82","150.15","7.54M","-0.99%"
"07/15/2021","151.80","152.86","152.98","150.99","6.25M","-0.82%"
"07/14/2021","153.06","153.15","153.84","152.39","6.44M","0.74%"
"07/13/2021","151.94","151.07","153.04","150.94","7.60M","0.41%"
"07/12/2021","151.32","151.87","151.87","150.84","4.81M","0.08%"
"07/09/2021","151.20","149.64","151.34","149.42","4.89M","0.92%"
"07/08/2021","149.82","148.80","150.23","148.23","8.54M","-0.95%"
"07/07/2021","151.25","151.51","151.56","150.06","7.44M","0.55%"
"07/06/2021","150.43","150.24","151.14","148.99","5.94M","0.38%"
"07/05/2021","149.86","149.86","149.86","149.86","","0.00%"
"07/04/2021","149.86","149.86","149.86","149.86","","0.00%"
"07/03/2021","149.86","149.86","149.86","149.86","","0.00%"
"07/02/2021","149.86","148.62","150.01","148.58","6.39M","1.32%"
"07/01/2021","147.91","147.55","147.91","146.94","5.82M","0.17%"
"06/30/2021","147.66","147.63","148.01","147.22","5.51M","-0.11%"
"06/29/2021","147.82","146.83","147.89","146.49","4.91M","0.73%"
"06/28/2021","146.75","145.81","146.92","145.81","6.28M","1.05%"
"06/25/2021","145.23","145.53","145.64","144.99","7.19M","-0.12%"
"06/24/2021","145.40","145.47","145.83","145.12","6.14M","0.63%"
"06/23/2021","144.49","144.66","144.99","144.18","4.14M","-0.11%"
"06/22/2021","144.65","143.25","144.73","143.15","4.63M","0.91%"
"06/21/2021","143.35","141.89","143.43","140.97","6.14M","0.89%"
"06/18/2021","142.09","142.71","143.27","141.92","10.41M","-0.91%"
"06/17/2021","143.40","141.35","143.99","141.35","7.93M","1.16%"
"06/16/2021","141.76","142.80","143.07","140.37","9.60M","-0.54%"
"06/15/2021","142.53","143.30","143.30","142.27","7.54M","-0.61%"
"06/14/2021","143.41","142.11","143.42","141.53","5.71M","1.01%"
"06/11/2021","141.97","141.31","141.97","141.18","6.05M","0.60%"
"06/10/2021","141.13","140.39","141.48","139.89","5.64M","0.74%"
"06/09/2021","140.10","140.68","140.92","140.02","4.88M","0.07%"
"06/08/2021","140.00","140.66","141.25","139.61","4.45M","0.01%"
"06/07/2021","139.99","139.90","140.15","139.31","5.89M","-0.02%"
"06/04/2021","140.02","138.22","140.18","138.22","5.59M","1.92%"
"06/03/2021","137.38","137.55","138.10","136.54","6.36M","-0.93%"
"06/02/2021","138.67","138.00","139.23","137.74","5.05M","0.69%"
"06/01/2021","137.72","139.02","139.17","137.47","6.45M","-0.49%"
"05/28/2021","138.40","138.61","139.20","138.33","4.61M","0.36%"
"05/27/2021","137.91","138.52","139.09","137.88","5.68M","-0.53%"
"05/26/2021","138.64","138.85","139.25","138.19","6.66M","-0.01%"
"05/25/2021","138.65","139.17","139.49","138.34","5.62M","0.03%"
"05/24/2021","138.61","137.32","139.09","137.25","6.61M","1.78%"
"05/21/2021","136.19","137.64","137.77","136.06","7.07M","-0.55%"
"05/20/2021","136.94","134.91","137.40","134.89","8.41M","1.91%"
"05/19/2021","134.37","131.82","134.47","131.50","15.29M","0.35%"
"05/18/2021","133.90","135.37","135.65","133.81","5.87M","-0.80%"
"05/17/2021","134.98","135.18","135.22","133.75","8.13M","-0.74%"
"05/14/2021","135.98","134.54","136.44","134.28","8.41M","2.20%"
"05/13/2021","133.05","132.75","134.25","132.16","11.31M","1.33%"
"05/12/2021","131.31","133.12","133.85","130.96","14.71M","-2.81%"
"05/11/2021","135.11","132.93","135.39","132.61","13.52M","-0.30%"
"05/10/2021","135.52","138.36","138.43","135.47","10.14M","-2.52%"
"05/07/2021","139.03","139.23","139.85","138.43","9.60M","0.86%"
"05/06/2021","137.85","136.42","137.93","135.44","7.17M","1.00%"
"05/05/2021","136.48","137.93","138.13","136.22","5.62M","-0.24%"
"05/04/2021","136.81","138.27","138.31","135.29","9.96M","-1.79%"
"05/03/2021","139.31","140.45","140.73","138.96","5.40M","-0.28%"
"04/30/2021","139.70","140.19","140.95","139.37","5.29M","-1.36%"
"04/29/2021","141.63","142.91","143.09","140.19","6.71M","-0.08%"
"04/28/2021","141.75","142.25","142.44","141.41","5.35M","-0.93%"
"04/27/2021","143.08","143.66","143.77","142.57","5.41M","-0.24%"
"04/26/2021","143.43","142.75","143.58","142.65","3.87M","0.51%"
"04/23/2021","142.70","140.86","143.15","140.83","4.45M","1.49%"
"04/22/2021","140.60","142.02","142.63","139.98","5.83M","-1.17%"
"04/21/2021","142.27","140.60","142.32","140.21","4.63M","1.01%"
"04/20/2021","140.85","141.81","142.43","140.06","4.94M","-0.89%"
"04/19/2021","142.11","142.66","143.32","141.26","5.13M","-0.83%"
"04/16/2021","143.30","143.44","143.57","142.70","5.85M","-0.02%"
"04/15/2021","143.33","142.20","143.44","142.18","5.51M","1.72%"
"04/14/2021","140.91","142.40","142.47","140.64","5.61M","-1.06%"
"04/13/2021","142.42","141.63","142.53","141.37","5.66M","0.94%"
"04/12/2021","141.09","141.19","141.54","140.40","7.95M","-0.48%"
"04/09/2021","141.77","139.91","141.81","139.66","4.70M","0.96%"
"04/08/2021","140.42","139.72","140.45","139.48","7.07M","1.44%"
"04/07/2021","138.42","137.58","138.66","137.08","5.04M","0.53%"
"04/06/2021","137.69","138.06","138.51","137.23","5.66M","-0.43%"
"04/05/2021","138.28","136.27","138.52","136.09","6.43M","2.07%"
"04/01/2021","135.48","134.26","135.49","134.13","7.18M","2.01%"
"03/31/2021","132.81","131.73","133.62","131.62","7.72M","1.59%"
"03/30/2021","130.73","131.05","131.19","129.94","6.62M","-0.95%"
"03/29/2021","131.98","132.27","132.64","130.98","8.66M","-0.52%"
"03/26/2021","132.67","129.31","132.81","129.26","7.44M","2.54%"
"03/25/2021","129.38","128.69","129.96","127.72","11.29M","-0.06%"
"03/24/2021","129.46","131.84","131.86","129.44","7.10M","-1.21%"
"03/23/2021","131.05","132.23","132.81","130.70","6.46M","-0.62%"
"03/22/2021","131.87","130.02","132.51","129.81","7.99M","1.75%"
"03/19/2021","129.60","130.02","130.59","128.98","13.61M","-0.30%"
"03/18/2021","129.99","131.87","132.09","129.83","8.79M","-2.77%"
"03/17/2021","133.70","132.73","134.50","131.72","9.68M","-0.08%"
"03/16/2021","133.81","133.83","135.09","133.24","6.55M","0.75%"
"03/15/2021","132.81","131.51","132.89","130.99","8.29M","1.07%"
"03/12/2021","131.41","130.78","131.45","129.94","6.22M","-0.72%"
"03/11/2021","132.36","131.54","133.18","131.26","6.68M","2.14%"
"03/10/2021","129.59","131.51","131.53","129.49","9.23M","-0.40%"
"03/09/2021","130.11","128.77","130.91","128.60","11.49M","3.40%"
"03/08/2021","125.83","128.83","129.45","125.70","17.62M","-2.42%"
"03/05/2021","128.95","128.14","129.31","124.71","23.04M","1.89%"
"03/04/2021","126.56","129.02","129.96","124.96","38.48M","-2.21%"
"03/03/2021","129.42","132.12","132.50","129.28","14.94M","-2.52%"
"03/02/2021","132.76","135.09","135.18","132.56","12.40M","-1.59%"
"03/01/2021","134.90","132.91","134.98","132.07","12.39M","3.22%"
"02/26/2021","130.69","131.29","132.70","129.53","17.76M","0.53%"
"02/25/2021","130.00","133.51","134.40","129.42","17.16M","-3.50%"
